################################################################
# abuse.ch Feodo Tracker Botnet C2 IP Blocklist (CSV)          #
# Last updated: 2021-10-25 07:45:52 UTC                        #
#                                                              #
# Terms Of Use: https://feodotracker.abuse.ch/blocklist/       #
# For questions please contact feodotracker [at] abuse.ch      #
################################################################
#
"first_seen_utc","dst_ip","dst_port","c2_status","last_online","malware"
"2021-07-21 15:16:51","178.238.236.59","443","online","2021-10-25","Dridex"
"2021-07-21 15:16:51","104.245.52.73","5007","offline","2021-10-20","Dridex"
"2021-07-26 21:18:19","68.183.216.174","7443","offline","2021-09-30","Dridex"
"2021-07-26 21:18:21","45.79.33.48","443","online","2021-10-25","Dridex"
"2021-07-28 16:01:42","104.248.178.90","4664","online","2021-10-25","Dridex"
"2021-07-28 16:01:43","173.212.243.155","7002","offline","2021-09-27","Dridex"
"2021-07-29 17:42:58","177.75.5.222","443","online","2021-10-25","TrickBot"
"2021-07-30 12:28:05","105.27.205.34","443","offline","2021-09-27","TrickBot"
"2021-07-30 19:14:45","181.129.167.82","443","online","2021-10-25","TrickBot"
"2021-07-30 21:15:51","128.201.76.252","443","online","2021-10-25","TrickBot"
"2021-07-30 22:31:21","36.67.97.127","443","online","2021-10-25","TrickBot"
"2021-07-30 23:46:31","103.238.203.82","443","online","2021-10-25","TrickBot"
"2021-07-31 11:43:22","177.52.173.20","9043","offline","2021-09-27","Dridex"
"2021-07-31 19:58:44","103.140.207.110","443","online","2021-10-25","TrickBot"
"2021-08-01 00:47:34","103.109.247.13","10443","online","2021-10-25","Dridex"
"2021-08-01 00:47:35","103.253.107.156","7443","online","2021-10-25","Dridex"
"2021-08-01 11:36:20","36.89.98.183","443","online","2021-10-25","TrickBot"
"2021-08-02 09:26:01","185.164.32.148","443","online","2021-10-25","TrickBot"
"2021-08-02 16:27:16","46.99.175.217","443","online","2021-10-25","TrickBot"
"2021-08-02 16:27:17","185.56.175.122","443","offline","2021-10-07","TrickBot"
"2021-08-02 16:27:20","179.189.229.254","443","online","2021-10-25","TrickBot"
"2021-08-03 19:00:03","182.253.210.130","443","online","2021-10-25","TrickBot"
"2021-08-04 17:31:58","186.235.48.8","443","offline","2021-10-13","TrickBot"
"2021-08-04 19:22:54","137.74.112.43","443","online","2021-10-25","Dridex"
"2021-08-04 19:22:54","216.108.227.55","6225","online","2021-10-25","Dridex"
"2021-08-05 10:48:15","138.121.91.136","9043","online","2021-10-25","Dridex"
"2021-08-05 13:50:54","103.253.107.155","7443","online","2021-10-25","Dridex"
"2021-08-08 09:33:07","149.210.181.82","10172","offline","2021-10-16","Dridex"
"2021-08-08 09:33:09","178.33.13.40","7443","online","2021-10-25","Dridex"
"2021-08-08 15:32:01","36.66.188.251","443","online","2021-10-25","TrickBot"
"2021-08-08 22:31:57","103.30.247.115","7443","offline","2021-10-24","Dridex"
"2021-08-09 20:59:58","103.248.217.234","443","offline","2021-10-21","TrickBot"
"2021-08-11 07:44:52","43.252.158.104","443","online","2021-10-25","TrickBot"
"2021-08-11 07:45:05","75.176.235.182","443","online","2021-10-25","TrickBot"
"2021-08-11 13:16:33","125.234.128.250","443","online","2021-10-25","TrickBot"
"2021-08-11 16:06:31","80.241.218.90","443","offline","2021-09-28","Dridex"
"2021-08-12 19:03:31","190.183.237.119","10172","online","2021-10-25","Dridex"
"2021-08-12 19:03:34","103.253.107.198","7443","online","2021-10-25","Dridex"
"2021-08-14 18:40:26","172.104.58.76","6225","offline","2021-10-07","Dridex"
"2021-08-14 18:40:26","204.174.223.210","9043","online","2021-10-25","Dridex"
"2021-08-16 15:18:09","134.209.182.12","443","online","2021-10-25","Dridex"
"2021-08-16 15:18:09","188.40.100.254","4664","online","2021-10-25","Dridex"
"2021-08-16 15:18:09","103.109.247.9","10443","online","2021-10-25","Dridex"
"2021-08-18 15:31:36","74.63.218.139","13786","online","2021-10-25","Dridex"
"2021-08-18 15:31:37","142.11.214.93","4664","online","2021-10-25","Dridex"
"2021-08-20 00:57:33","148.251.238.52","10172","online","2021-10-25","Dridex"
"2021-08-20 00:57:33","103.30.247.116","6225","online","2021-10-25","Dridex"
"2021-08-20 04:28:37","50.116.62.25","8194","online","2021-10-25","Dridex"
"2021-08-20 04:28:38","185.143.48.16","7443","offline","2021-10-12","Dridex"
"2021-08-22 00:26:09","209.89.76.47","10172","offline","2021-10-06","Dridex"
"2021-08-23 21:09:45","217.18.75.120","10172","offline","2021-10-20","Dridex"
"2021-08-25 14:51:00","54.39.98.141","6602","online","2021-10-25","Dridex"
"2021-08-25 14:51:02","103.82.248.59","443","online","2021-10-25","Dridex"
"2021-08-25 14:51:02","103.109.247.8","10443","online","2021-10-25","Dridex"
"2021-08-26 15:45:29","5.135.167.231","8443","offline","2021-10-05","Dridex"
"2021-08-26 15:45:30","212.53.160.143","10172","offline","2021-10-25","Dridex"
"2021-08-27 04:48:12","192.99.150.39","7443","online","2021-10-25","Dridex"
"2021-08-27 04:48:12","46.101.182.168","10172","online","2021-10-25","Dridex"
"2021-08-28 21:57:30","213.136.86.165","7443","online","2021-10-25","Dridex"
"2021-08-28 21:57:35","45.33.33.91","10172","online","2021-10-25","Dridex"
"2021-08-30 22:30:31","97.107.134.115","10172","online","2021-10-25","Dridex"
"2021-08-30 22:30:34","103.253.107.153","7443","online","2021-10-25","Dridex"
"2021-09-01 14:52:02","103.87.173.60","443","online","2021-10-25","Dridex"
"2021-09-03 07:43:24","186.4.193.75","443","online","2021-10-25","TrickBot"
"2021-09-04 21:09:55","207.154.208.93","6225","online","2021-10-25","Dridex"
"2021-09-07 01:08:26","204.107.218.39","9043","offline","2021-10-24","Dridex"
"2021-09-07 22:20:53","5.199.162.48","9676","online","2021-10-25","Dridex"
"2021-09-07 22:20:54","194.1.193.11","8443","online","2021-10-25","Dridex"
"2021-09-08 14:30:34","201.148.20.37","5412","online","2021-10-25","Dridex"
"2021-09-10 07:26:11","128.199.206.91","6225","online","2021-10-25","Dridex"
"2021-09-13 08:29:08","92.247.29.75","10172","offline","2021-10-02","Dridex"
"2021-09-13 20:50:27","114.79.130.68","443","online","2021-10-25","Dridex"
"2021-09-15 15:18:19","167.71.232.57","9217","offline","2021-10-16","Dridex"
"2021-09-15 15:18:19","45.76.176.10","5723","online","2021-10-25","Dridex"
"2021-09-15 15:18:19","103.233.25.228","443","online","2021-10-25","Dridex"
"2021-09-15 15:39:04","176.100.4.31","443","online","2021-10-25","TrickBot"
"2021-09-15 15:39:06","165.73.90.187","443","offline","2021-09-29","TrickBot"
"2021-09-15 15:39:08","122.117.90.133","443","online","2021-10-25","TrickBot"
"2021-09-15 15:39:08","103.113.105.126","443","online","2021-10-25","TrickBot"
"2021-09-15 15:39:09","139.255.199.196","443","online","2021-10-25","TrickBot"
"2021-09-15 15:39:09","157.119.215.186","443","offline","2021-10-01","TrickBot"
"2021-09-15 15:39:09","103.75.32.38","443","offline","2021-10-19","TrickBot"
"2021-09-15 15:39:11","103.94.0.178","443","online","2021-10-25","TrickBot"
"2021-09-15 15:39:12","103.127.67.38","443","online","2021-10-25","TrickBot"
"2021-09-15 15:39:13","36.95.110.19","443","online","2021-10-25","TrickBot"
"2021-09-15 15:39:14","36.91.36.29","443","online","2021-10-25","TrickBot"
"2021-09-15 15:39:14","36.37.99.242","443","online","2021-10-25","TrickBot"
"2021-09-15 15:39:15","14.102.15.101","443","offline","2021-10-06","TrickBot"
"2021-09-16 00:53:58","128.199.232.159","6225","online","2021-10-25","Dridex"
"2021-09-16 00:53:58","45.76.117.129","9043","offline","2021-10-02","Dridex"
"2021-09-17 11:44:00","5.199.174.90","9043","offline","2021-10-20","Dridex"
"2021-09-17 11:44:00","159.65.3.147","6225","online","2021-10-25","Dridex"
"2021-09-20 07:59:01","54.37.84.240","10172","online","2021-10-25","Dridex"
"2021-09-20 07:59:01","212.39.115.102","9676","offline","2021-10-04","Dridex"
"2021-09-20 12:00:35","156.67.220.186","6225","offline","2021-10-06","Dridex"
"2021-09-20 16:11:48","169.255.57.61","8116","offline","2021-10-11","Dridex"
"2021-09-20 16:11:49","128.199.192.135","6602","online","2021-10-25","Dridex"
"2021-09-21 10:00:32","103.58.102.177","7443","online","2021-10-25","Dridex"
"2021-09-22 14:30:22","148.251.190.18","443","offline","2021-09-27","Dridex"
"2021-09-22 14:30:24","202.157.177.65","5412","online","2021-10-25","Dridex"
"2021-09-24 12:54:25","43.252.159.190","443","online","2021-10-25","TrickBot"
"2021-09-24 19:14:26","124.41.211.17","443","online","2021-10-25","TrickBot"
"2021-09-25 08:33:39","103.52.135.61","443","online","2021-10-25","TrickBot"
"2021-09-25 19:14:16","36.92.59.93","443","online","2021-10-25","TrickBot"
"2021-09-27 05:19:32","31.31.75.77","6225","offline","2021-10-07","Dridex"
"2021-09-27 05:19:32","80.211.40.191","10172","online","2021-10-25","Dridex"
"2021-09-27 14:55:19","207.154.252.203","4664","offline","2021-09-29","Dridex"
"2021-09-27 14:55:19","138.197.109.175","443","online","2021-10-25","Dridex"
"2021-09-27 14:55:19","45.33.20.41","9217","online","2021-10-25","Dridex"
"2021-09-28 23:38:49","85.254.196.150","6225","offline","2021-10-05","Dridex"
"2021-09-29 06:38:54","185.30.32.51","9676","online","2021-10-25","Dridex"
"2021-09-29 08:27:09","185.250.148.74","443","offline","2021-10-13","QakBot"
"2021-09-29 08:42:47","81.241.252.59","2078","online","2021-10-25","QakBot"
"2021-09-29 08:42:47","81.250.153.227","2222","online","2021-10-25","QakBot"
"2021-09-29 08:42:47","89.101.97.139","443","offline","2021-10-24","QakBot"
"2021-09-29 08:42:47","95.77.223.148","443","offline","2021-10-03","QakBot"
"2021-09-29 08:42:47","47.22.148.6","443","offline","2021-10-08","QakBot"
"2021-09-29 08:42:47","199.27.127.129","443","offline","2021-10-19","QakBot"
"2021-09-29 08:42:48","105.198.236.99","443","offline","2021-10-14","QakBot"
"2021-09-29 08:42:48","216.201.162.158","443","online","2021-10-25","QakBot"
"2021-09-29 08:42:48","37.210.152.224","995","offline","2021-10-18","QakBot"
"2021-09-29 08:42:49","136.232.34.70","443","online","2021-10-25","QakBot"
"2021-09-29 08:42:49","181.118.183.94","443","offline","2021-10-20","QakBot"
"2021-09-29 08:42:50","120.151.47.189","443","offline","2021-10-12","QakBot"
"2021-09-29 08:42:51","120.150.218.241","995","online","2021-10-25","QakBot"
"2021-09-29 08:42:51","41.228.22.180","443","offline","2021-10-22","QakBot"
"2021-09-29 08:42:53","122.11.220.212","2222","offline","2021-10-12","QakBot"
"2021-09-29 11:10:09","177.130.82.197","2222","offline","2021-09-30","QakBot"
"2021-09-29 12:05:05","24.139.72.117","443","offline","2021-10-22","QakBot"
"2021-09-29 12:15:05","24.229.150.54","995","offline","2021-10-22","QakBot"
"2021-09-29 12:20:06","186.18.205.199","995","offline","2021-09-30","QakBot"
"2021-09-29 13:10:07","73.151.236.31","443","offline","2021-10-25","QakBot"
"2021-09-29 13:35:05","68.204.7.158","443","offline","2021-10-20","QakBot"
"2021-09-29 13:50:05","75.188.35.168","443","offline","2021-10-25","QakBot"
"2021-09-29 13:50:05","72.252.201.69","443","offline","2021-10-11","QakBot"
"2021-09-29 14:05:04","173.21.10.71","2222","offline","2021-10-25","QakBot"
"2021-09-29 14:20:05","24.55.112.61","443","offline","2021-10-21","QakBot"
"2021-09-29 14:20:06","71.80.168.245","443","offline","2021-09-30","QakBot"
"2021-09-29 14:35:05","45.46.53.140","2222","offline","2021-10-25","QakBot"
"2021-09-29 14:55:07","217.17.56.163","443","online","2021-10-25","QakBot"
"2021-09-29 14:55:08","41.251.41.14","995","offline","2021-09-29","QakBot"
"2021-09-29 14:55:09","93.8.66.216","443","offline","2021-09-30","QakBot"
"2021-09-29 14:55:09","217.17.56.163","2222","offline","2021-10-06","QakBot"
"2021-09-29 14:55:09","217.17.56.163","2078","online","2021-10-25","QakBot"
"2021-09-29 14:55:09","217.17.56.163","465","offline","2021-10-22","QakBot"
"2021-09-29 14:55:11","190.198.206.189","2222","offline","2021-10-04","QakBot"
"2021-09-29 15:10:07","47.40.196.233","2222","offline","2021-10-18","QakBot"
"2021-09-29 15:15:06","71.74.12.34","443","offline","2021-10-25","QakBot"
"2021-09-29 16:00:42","207.38.84.195","8333","online","2021-10-25","Dridex"
"2021-09-29 16:00:43","186.250.48.123","7880","online","2021-10-25","Dridex"
"2021-09-29 16:45:05","76.25.142.196","443","offline","2021-10-25","QakBot"
"2021-09-29 20:00:05","67.165.206.193","993","offline","2021-10-25","QakBot"
"2021-09-30 04:30:14","124.123.42.115","2222","offline","2021-10-13","QakBot"
"2021-09-30 07:55:05","103.148.120.144","443","offline","2021-10-16","QakBot"
"2021-09-30 12:05:04","173.25.166.81","443","offline","2021-10-04","QakBot"
"2021-09-30 14:00:07","189.210.115.207","443","offline","2021-09-30","QakBot"
"2021-09-30 16:55:04","109.12.111.14","443","offline","2021-10-24","QakBot"
"2021-09-30 18:05:07","68.186.192.69","443","offline","2021-10-22","QakBot"
"2021-09-30 21:25:38","144.139.47.206","443","offline","2021-10-25","QakBot"
"2021-10-01 15:15:11","50.29.166.232","995","offline","2021-10-22","QakBot"
"2021-10-01 15:46:31","75.89.195.186","995","offline","2021-10-04","QakBot"
"2021-10-01 15:46:33","159.2.51.200","2222","offline","2021-10-03","QakBot"
"2021-10-01 15:46:33","174.54.58.170","443","offline","2021-10-04","QakBot"
"2021-10-01 15:46:33","94.200.181.154","443","offline","2021-10-25","QakBot"
"2021-10-01 15:46:34","73.130.180.25","443","offline","2021-10-05","QakBot"
"2021-10-01 15:46:34","73.52.50.32","443","offline","2021-10-18","QakBot"
"2021-10-01 15:46:35","174.59.35.191","443","offline","2021-10-01","QakBot"
"2021-10-01 15:46:35","73.230.205.91","443","offline","2021-10-14","QakBot"
"2021-10-01 15:46:35","174.54.193.186","443","offline","2021-10-19","QakBot"
"2021-10-01 19:05:08","24.152.219.253","995","offline","2021-10-20","QakBot"
"2021-10-01 23:31:34","86.8.177.143","443","offline","2021-10-24","QakBot"
"2021-10-02 03:57:07","103.157.122.198","995","offline","2021-10-04","QakBot"
"2021-10-02 04:01:53","78.191.44.76","995","offline","2021-10-02","QakBot"
"2021-10-02 09:25:46","73.25.124.140","2222","offline","2021-10-04","QakBot"
"2021-10-03 19:15:05","75.66.88.33","443","offline","2021-10-25","QakBot"
"2021-10-03 22:30:07","73.77.87.137","443","offline","2021-10-11","QakBot"
"2021-10-04 08:05:24","81.214.126.173","2222","offline","2021-10-20","QakBot"
"2021-10-04 13:52:06","75.75.179.226","443","offline","2021-10-07","QakBot"
"2021-10-04 13:52:07","167.248.100.227","443","offline","2021-10-05","QakBot"
"2021-10-04 13:52:07","167.248.111.245","443","offline","2021-10-20","QakBot"
"2021-10-04 13:52:07","96.57.188.174","2078","offline","2021-10-11","QakBot"
"2021-10-04 13:52:08","40.131.140.155","995","offline","2021-10-08","QakBot"
"2021-10-04 13:52:08","96.46.103.226","443","offline","2021-10-06","QakBot"
"2021-10-04 13:52:08","208.89.170.179","443","offline","2021-10-05","QakBot"
"2021-10-04 13:52:08","206.47.134.234","2222","offline","2021-10-05","QakBot"
"2021-10-04 13:52:08","187.116.124.82","995","offline","2021-10-06","QakBot"
"2021-10-04 13:52:09","76.84.230.103","443","offline","2021-10-05","QakBot"
"2021-10-04 13:52:10","201.93.111.2","995","offline","2021-10-07","QakBot"
"2021-10-04 13:52:10","75.163.81.130","995","offline","2021-10-05","QakBot"
"2021-10-04 13:52:12","69.30.186.190","443","offline","2021-10-20","QakBot"
"2021-10-04 13:52:12","98.22.92.139","995","offline","2021-10-05","QakBot"
"2021-10-04 13:52:13","97.98.130.50","443","offline","2021-10-06","QakBot"
"2021-10-04 13:52:15","167.248.81.60","443","offline","2021-10-20","QakBot"
"2021-10-04 13:52:16","69.30.190.105","995","offline","2021-10-06","QakBot"
"2021-10-04 14:32:09","78.191.36.142","995","offline","2021-10-06","QakBot"
"2021-10-04 16:00:23","185.157.82.209","8333","offline","2021-10-05","Dridex"
"2021-10-04 16:00:23","5.39.99.208","5412","online","2021-10-25","Dridex"
"2021-10-04 16:00:24","207.148.81.119","443","online","2021-10-25","Dridex"
"2021-10-04 19:22:16","167.248.99.149","443","offline","2021-10-05","QakBot"
"2021-10-04 19:27:18","167.248.23.224","443","offline","2021-10-05","QakBot"
"2021-10-04 20:12:16","167.248.117.81","443","offline","2021-10-20","QakBot"
"2021-10-04 21:12:24","70.37.217.196","443","offline","2021-10-05","QakBot"
"2021-10-05 04:17:49","103.142.10.177","443","online","2021-10-25","QakBot"
"2021-10-05 07:47:34","2.99.100.134","2222","offline","2021-10-08","QakBot"
"2021-10-05 10:07:12","24.119.214.7","443","offline","2021-10-22","QakBot"
"2021-10-05 14:37:43","74.72.237.54","443","offline","2021-10-07","QakBot"
"2021-10-05 14:37:46","177.94.21.110","995","offline","2021-10-05","QakBot"
"2021-10-05 14:37:48","115.96.53.68","443","offline","2021-10-06","QakBot"
"2021-10-05 15:32:25","76.84.225.21","443","offline","2021-10-06","QakBot"
"2021-10-05 16:16:50","103.75.32.173","443","online","2021-10-25","TrickBot"
"2021-10-05 16:16:54","202.9.121.143","443","offline","2021-10-23","TrickBot"
"2021-10-05 16:16:54","103.146.232.154","443","online","2021-10-22","TrickBot"
"2021-10-05 16:16:55","103.47.170.131","443","offline","2021-10-12","TrickBot"
"2021-10-05 16:16:57","117.222.61.115","443","offline","2021-10-16","TrickBot"
"2021-10-05 16:16:57","117.222.57.92","443","offline","2021-10-06","TrickBot"
"2021-10-05 16:16:58","103.47.170.130","443","offline","2021-10-16","TrickBot"
"2021-10-05 16:16:58","36.95.23.89","443","offline","2021-10-17","TrickBot"
"2021-10-05 16:16:59","116.206.153.212","443","online","2021-10-25","TrickBot"
"2021-10-05 16:16:59","118.91.190.42","443","online","2021-10-25","TrickBot"
"2021-10-05 16:17:00","136.228.128.21","443","online","2021-10-25","TrickBot"
"2021-10-05 16:17:03","36.91.186.235","443","offline","2021-10-22","TrickBot"
"2021-10-05 16:27:47","181.4.53.6","465","offline","2021-10-22","QakBot"
"2021-10-05 21:12:23","209.50.20.255","443","online","2021-10-25","QakBot"
"2021-10-06 03:02:46","202.134.178.157","443","offline","2021-10-08","QakBot"
"2021-10-06 04:32:28","69.80.113.148","443","offline","2021-10-06","QakBot"
"2021-10-06 05:32:46","89.137.52.44","443","online","2021-10-25","QakBot"
"2021-10-06 07:48:41","185.168.130.138","443","online","2021-10-25","Dridex"
"2021-10-06 07:48:41","79.172.255.198","9676","online","2021-10-25","Dridex"
"2021-10-06 13:32:47","173.25.162.221","443","offline","2021-10-20","QakBot"
"2021-10-06 15:07:17","167.248.126.223","443","offline","2021-10-06","QakBot"
"2021-10-06 16:02:49","78.191.58.219","995","offline","2021-10-07","QakBot"
"2021-10-06 16:02:51","188.55.235.110","995","offline","2021-10-07","QakBot"
"2021-10-06 16:07:50","66.103.170.104","2222","offline","2021-10-07","QakBot"
"2021-10-06 18:19:36","195.154.108.109","10172","offline","2021-10-10","Dridex"
"2021-10-06 18:47:08","77.57.204.78","443","offline","2021-10-23","QakBot"
"2021-10-06 21:00:16","51.178.61.60","6602","online","2021-10-25","Dridex"
"2021-10-06 21:00:16","116.203.55.59","443","online","2021-10-25","Dridex"
"2021-10-06 21:00:17","213.190.4.223","9217","online","2021-10-25","Dridex"
"2021-10-06 23:50:05","27.223.92.142","995","offline","2021-10-25","QakBot"
"2021-10-07 07:57:49","2.222.167.138","443","online","2021-10-25","QakBot"
"2021-10-07 10:15:31","80.6.192.58","443","offline","2021-10-19","QakBot"
"2021-10-07 11:57:54","188.50.169.158","443","offline","2021-10-09","QakBot"
"2021-10-07 11:57:55","209.142.97.161","995","offline","2021-10-07","QakBot"
"2021-10-07 11:57:56","200.232.214.222","995","offline","2021-10-14","QakBot"
"2021-10-07 11:57:56","186.32.163.199","443","offline","2021-10-11","QakBot"
"2021-10-07 11:58:03","72.173.78.211","443","offline","2021-10-20","QakBot"
"2021-10-07 12:02:57","98.157.235.126","443","offline","2021-10-08","QakBot"
